sv,times,x,y,z,vx,vy,vz
G05,474894.239671,-3262387.67445123,18808293.11804025,18407929.22496846,-1432.1484888068135,-1866.1602201355918,1663.343095596518
G06,474894.239671,14405351.294956027,-21254686.74263334,6398085.609628358,10.279076593297987,881.1492117651812,2992.5147973992084
G13,474894.239671,-10183000.89551909,-10902263.4195017,21831834.621337492,1495.05688301217,-2365.181044178401,-488.717197476568
G16,474894.239671,2404158.6964750635,-19348867.965373844,17907883.703999564,1307.3885041918863,1872.0484934092146,1877.0899614710395
G21,474894.239671,25243140.674630143,4874810.9970766995,8241911.481935354,-960.5149262032874,334.78812002377094,2838.404660061068
G23,474894.239671,-4457819.192266624,-18775441.161762796,18110075.913596444,1216.8203240099617,-1968.979042766028,-1779.4229200725285
G25,474894.239671,17766429.150094792,18788232.05110847,6098348.8834044095,222.96274683092702,786.8569053740121,-3057.3474364056447
G29,474894.239671,10983493.848622974,11143126.236648006,21532084.44937748,-1356.8280643918165,2355.368749361567,-524.3173937310604
G30,474894.239671,20189772.38718131,8379249.291528916,14734243.166429028,1045.937076129617,1645.1785173175513,-2310.048517518305
G31,474894.239671,23143979.163313936,-8158762.833500742,10632310.024273982,1316.4844112787962,112.5891500778655,-2811.979802584227
G05,474894.339674,-3262530.894695769,18808106.495954398,18408095.56230077,-1432.1704687158626,-1866.1695268559024,1663.3037476364316
G06,474894.339674,14405352.322370466,-21254598.62335477,6398384.869397218,10.268595598722868,881.1834884366983,2992.5010290560776
G13,474894.339674,-10182851.386243705,-10902499.944906695,21831785.745798033,1495.038922488966,-2365.185145565942,-488.76426697069365
G16,474894.339674,2404289.4404185778,-19348680.75429802,17908071.41670316,1307.4119210895012,1872.0606999429447,1877.051485531995
G21,474894.339674,25243044.61861451,4874844.477229413,8242195.330081682,-960.5477528703943,334.7948469888179,2838.387961229741
G23,474894.339674,-4457697.507658959,-18775638.06494182,18109897.964018576,1216.7988220464606,-1968.9663997552238,-1779.4618703847723
G25,474894.339674,17766451.44619627,18788310.737499416,6098043.138840306,222.94590229721211,786.8237041417503,-3057.360402849033
G29,474894.339674,10983358.162594967,11143361.78069726,21532032.013789188,-1356.8110851226331,2355.370912153273,-524.3629110717012
G30,474894.339674,20189876.983566865,8379413.812864621,14734012.153043857,1045.927878633841,1645.1494872603892,-2310.080581864938
G31,474894.339674,23144110.813990463,-8158751.574574876,10632028.816749735,1316.450131628142,112.58261323798206,-2812.001962895338
G05,474894.449844,-3262688.6782503854,18807900.899492875,18408278.80608698,-1432.194683146887,-1866.179779040151,1663.2603988815624
G06,474894.449844,14405353.4530256,-21254501.541289717,6398714.552400034,10.257049619001691,881.2212499116142,2992.485860185892
G13,474894.449844,-10182686.678895494,-10902760.517603103,21831731.8957823,1495.019135625089,-2365.1896631798368,-488.8161217573323
G16,474894.449844,2404433.4794110702,-19348474.508629993,17908278.209130414,1307.4377186745148,1872.0741467207952,1877.009097405102
G21,474894.449844,25242938.793076377,4874881.361986017,8242508.034270037,-960.5839166257502,334.80225836392697,2838.369564019672
G23,474894.449844,-4457563.454237528,-18775854.985202808,18109701.91834062,1216.7751340326797,-1968.952470622216,-1779.5047802267447
G25,474894.449844,17766476.007123947,18788397.41985231,6097706.308657796,222.92734463115517,786.7871275825303,-3057.3746867979885
G29,474894.449844,10983208.68374808,11143621.27204189,21531974.24196501,-1356.7923793373875,2355.3732941119943,-524.4130558920834
G30,474894.449844,20189992.212883025,8379595.057222018,14733757.649520345,1045.9177453862724,1645.117505655834,-2310.1159055002
G31,474894.449844,23144255.845221166,-8158739.171745041,10631719.01714871,1316.412366514695,112.57541237903774,-2812.026375503009
G05,474894.549899,-3262831.977589743,18807714.178409334,18408445.22163681,-1432.2166742883226,-1866.1890892883443,1663.2210297205481
G06,474894.549899,14405354.478770148,-21254413.368981835,6399013.964883531,10.246564238286282,881.2555444041766,2992.472083336248
G13,474894.549899,-10182537.095654871,-10902997.166860085,21831682.98492925,1495.0011651285804,-2365.1937653390355,-488.86321550995433
G16,474894.549899,2404564.2962641353,-19348287.197640363,17908466.01134978,1307.4611476810371,1872.0863582266775,1876.9706006299466
G21,474894.549899,25242842.68020944,4874914.86096278,8242792.026500918,-960.6167598192621,334.80898973526246,2838.3528553071833
G23,474894.549899,-4457441.710877729,-18776051.988109335,18109523.868040286,1216.7536208680883,-1968.9398196823306,-1779.5437500119
G25,474894.549899,17766498.311276197,18788476.140176643,6097400.402384503,222.91049024865447,786.7539093424123,-3057.3876586154856
G29,474894.549899,10983072.930736443,11143856.939025026,21531921.769538395,-1356.7753907205329,2355.3754567250476,-524.4585966658573
G30,474894.549899,20190096.861722656,8379759.658000845,14733526.509268567,1045.90854189003,1645.0884602309652,-2310.1479854376425
G31,474894.549899,23144387.557144634,-8158727.908339289,10631437.658740604,1316.3780683938044,112.56887316014854,-2812.048546111508
G05,474894.649661,-3262974.8594834106,18807528.003190365,18408611.14593536,-1432.2386009378622,-1866.198371650978,1663.1817754967815
G06,474894.649661,14405355.500466423,-21254325.4514605,6399312.499198388,10.236110067000027,881.2897384680209,2992.4583461921325
G13,474894.649661,-10182387.952242447,-10903233.123524472,21831634.212614916,1494.9832469561438,-2365.1978548405373,-488.9101712509431
G16,474894.649661,2404694.732368392,-19348100.433953755,17908653.259776264,1307.484508046301,1872.098533320858,1876.9322161953562
G21,474894.649661,25242746.84552667,4874948.262512097,8243075.185427599,-960.6495065778015,334.8157018250065,2838.3361949565483
G23,474894.649661,-4457320.326172911,-18776248.412854448,18109346.3352585,1216.7321706927567,-1968.927205147215,-1779.5826053084006
G25,474894.649661,17766520.548434358,18788554.626668066,6097095.39063161,222.89368470584668,786.7207884996842,-3057.4005917980235
G29,474894.649661,10982937.576954825,11144091.916098904,21531869.446234863,-1356.7584516071465,2355.3776123874864,-524.5040039670607
G30,474894.649661,20190201.203192838,8379923.773871383,14733296.042689702,1045.899364768,1645.0594997332773,-2310.1799709196957
G31,474894.649661,23144518.87994771,-8158716.678568531,10631157.122050835,1316.3438704053274,112.56235357405694,-2812.0706512149927
G05,474894.759723,-3263132.4958597273,18807322.60510168,18408794.19666487,-1432.2627913121055,-1866.2086116578498,1663.1384680356566
G06,474894.759723,14405356.626438584,-21254228.45287318,6399641.85431482,10.224577131289152,881.327462921465,2992.443190006989
G13,474894.759723,-10182223.41248415,-10903493.44217905,21831580.399332833,1494.963478460928,-2365.20236581833,-488.96197485231176
G16,474894.759723,2404838.6381466025,-19347894.38630586,17908859.836359415,1307.5102802322906,1872.1119646865188,1876.889868276768
G21,474894.759723,25242641.112532426,4874985.113405535,8243387.577374421,-960.6856340010254,334.8231074080236,2838.317813838204
G23,474894.759723,-4457186.411499065,-18776465.11615458,18109150.468478803,1216.7085058673563,-1968.9132874714082,-1779.6254718195223
G25,474894.759723,17766545.07953866,18788641.21272082,6096758.886222436,222.87514346422722,786.6842482122922,-3057.414859525156
G29,474894.759723,10982788.25043447,11144351.153800592,21531811.715518355,-1356.7397633179976,2355.379989897297,-524.5540992488327
G30,474894.759723,20190316.31641151,8380104.830651755,14733041.777719865,1045.889239478696,1645.027549038435,-2310.215258171868
G31,474894.759723,23144663.757310525,-8158704.29012648,10630847.618588807,1316.3061412664738,112.55516142862552,-2812.0950379029855
G05,474894.859652,-3263275.621545838,18807136.11627678,18408960.39046441,-1432.2847544701062,-1866.2179082510254,1663.0991473623526
G06,474894.859652,14405357.64764718,-21254140.380989723,6399940.885482844,10.21410652089935,881.3617142232617,2992.4294285235073
G13,474894.859652,-10182074.023175439,-10903729.794690948,21831531.535501588,1494.9455296614074,-2365.2064608081523,-489.0090089800667
G16,474894.859652,2404969.2975105597,-19347707.307420053,17909047.390166026,1307.5336796350089,1872.1241587901889,1876.8514187602696
G21,474894.859652,25242545.110538688,4875018.572279916,8243671.206801475,-960.7184350355312,334.8298316396374,2838.30112440357
G23,474894.859652,-4457064.828108158,-18776661.86705915,18108972.63034039,1216.687019764507,-1968.90065046844,-1779.6643913805397
G25,474894.859652,17766567.35038775,18788719.823633518,6096453.361165576,222.85830870223344,786.651072181472,-3057.427812992996
G29,474894.859652,10982652.673634354,11144586.524675522,21531759.295079194,-1356.7227953315655,2355.3821478684117,-524.5995823265195
G30,474894.859652,20190420.83061799,8380269.215160275,14732810.918618526,1045.8800457796208,1644.9985397896128,-2310.247296117776
